City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
429,varnamo,57.186,14.04,3.48,1,100,3.58,SE,1675220160
430,corn island,12.1694,-83.0418,26.03,80,57,9.21,NI,1675220160
431,riyadh,24.6877,46.7219,16.08,36,30,4.36,SA,1675220160
432,altay,47.8667,88.1167,-8.95,62,100,2.19,CN,1675220161
433,alofi,-19.0595,-169.9187,23.94,94,100,2.06,NU,1675220161
434,okmulgee,35.6234,-95.9605,-4.91,54,0,2.52,US,1675220161
435,manono,-7.3,27.4167,19.16,97,4,0.69,CD,1675220162
436,kismayo,-0.3582,42.5454,25.14,77,83,6.94,SO,1675220162
437,mbuguni,-3.5667,36.95,18.79,88,0,0.99,TZ,1675220162
438,kenora,49.8167,-94.4337,-23.46,70,0,3.6,CA,1675219769
439,olafsvik,64.8945,-23.7142,-0.82,83,100,7.65,IS,1675220145
440,bambous virieux,-20.3428,57.7575,25.14,88,40,3.09,MU,1675220150
441,pangody,65.85,74.4859,-11.4,94,100,8.01,RU,1675220163
442,andenes,69.3143,16.1194,1.99,64,40,5.14,NO,1675220163
443,iqaluit,63.7506,-68.5145,-26.15,76,75,6.17,CA,1675220164
444,flinders,-34.5833,150.8552,25.14,64,5,4.39,AU,1675219925
445,bandarbeyla,9.4942,50.8122,23.24,71,6,5.14,SO,1675220164
446,camacha,33.0833,-16.3333,13.68,63,20,6.69,PT,1675220165
447,foki,56.693,54.3499,-4.49,95,99,3.92,RU,1675220165
448,narasannapeta,18.4167,84.05,24.71,49,70,2.83,IN,1675220161
449,mogadishu,2.0371,45.3438,24.14,80,21,6.68,SO,1675220155
450,bacolod,10.6667,122.95,29.42,70,47,5.28,PH,1675219903
451,shaki,41.0833,47.1667,1.46,75,52,1.03,AZ,1675220166
452,awjilah,29.1081,21.2869,10.08,68,3,5.83,LY,1675220166
453,ajdabiya,30.7554,20.2263,13.84,65,21,9.18,LY,1675220167
454,ambilobe,-13.2,49.05,23.41,94,56,0.73,MG,1675220167
455,saint-pierre,-21.3393,55.4781,24.82,94,75,5.66,RE,1675219801
456,tual,-5.6667,132.75,28.39,75,81,5.1,ID,1675220167
457,murray bridge,-35.1167,139.2667,17.29,64,84,7.01,AU,1675220168
458,baruun-urt,46.6806,113.2792,-18.29,77,3,3.36,MN,1675220000
459,luderitz,-26.6481,15.1594,15.63,93,6,4.85,NA,1675219902
460,bintulu,3.1667,113.0333,24.23,94,20,1.54,MY,1675219984
461,killam,52.7834,-111.8518,-15.03,92,100,1.03,CA,1675220168
462,parfino,57.9731,31.6481,-3.06,93,91,3.04,RU,1675220169
463,vanavara,60.34,102.2797,-18.36,97,100,1.45,RU,1675220169
464,angoche,-16.2325,39.9086,25.2,81,67,2.74,MZ,1675219827
465,sabang,5.8933,95.3214,26.22,72,100,2.18,ID,1675220170
466,onega,63.9061,38.1404,-5.27,91,100,4.15,RU,1675220170
467,ribeira grande,38.5167,-28.7,12.1,83,96,2.68,PT,1675220003
468,ozuluama,21.6667,-97.85,20.28,92,55,6.4,MX,1675220170
469,beringovskiy,63.05,179.3167,-5.62,97,58,3.29,RU,1675220171
470,avera,33.194,-82.5271,16.06,95,100,2.76,US,1675220171
471,burnie,-41.0667,145.9167,18.86,40,32,6.29,AU,1675220172
472,nisia floresta,-6.0911,-35.2086,26.45,77,98,3.61,BR,1675219960
473,novobirilyussy,56.9514,90.6661,-18.35,100,100,1.5,RU,1675220172
474,oktyabrskiy,54.4815,53.471,-15.73,97,53,2.6,RU,1675219893
475,japura,-0.3167,102.35,25.23,89,100,1.07,ID,1675220172
476,katangli,51.7102,143.2326,-15.08,78,28,5.3,RU,1675220173
477,lorengau,-2.0226,147.2712,28.91,70,70,4.15,PG,1675220173
